claim_status,verified_status,author_ban_status,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count
claim,not verified,active,307222.0,13123.0,4689.0,130.0,63.0
claim,not verified,active,962886.0,174445.0,10848.0,619.0,162.0
claim,not verified,banned,29060.0,1219.0,171.0,3.0,1.0
claim,not verified,active,952372.0,10191.0,114.0,223.0,55.0
claim,not verified,active,986657.0,537842.0,199478.0,4721.0,2891.0
claim,not verified,active,561388.0,152488.0,26474.0,2668.0,291.0
claim,not verified,under review,773587.0,279571.0,16917.0,3617.0,1331.0
claim,not verified,under review,71676.0,45324.0,6977.0,503.0,258.0
claim,not verified,banned,663764.0,113266.0,31512.0,2325.0,564.0
claim,not verified,under review,170467.0,86546.0,19813.0,721.0,447.0
claim,not verified,under review,988418.0,344391.0,78618.0,239.0,22.0
claim,not verified,active,345192.0,63925.0,7783.0,99.0,57.0
claim,not verified,active,755590.0,128952.0,25210.0,1750.0,498.0
claim,not verified,under review,611144.0,46826.0,12186.0,503.0,44.0
claim,not verified,active,929654.0,616498.0,97225.0,588.0,176.0
claim,not verified,active,208229.0,115949.0,2253.0,2058.0,149.0
claim,not verified,banned,248398.0,139777.0,17309.0,1639.0,209.0
claim,verified,active,677288.0,214708.0,66446.0,2167.0,1428.0
claim,not verified,under review,726718.0,241278.0,28762.0,1233.0,87.0
claim,not verified,under review,857998.0,468810.0,183219.0,5830.0,2431.0
claim,not verified,active,589041.0,144226.0,51973.0,3362.0,1597.0
claim,not verified,active,604898.0,288298.0,95777.0,3225.0,899.0
claim,not verified,under review,737901.0,205717.0,4645.0,666.0,12.0
claim,not verified,under review,680252.0,177711.0,1946.0,3223.0,9.0
claim,not verified,under review,250243.0,45005.0,9872.0,705.0,240.0
claim,not verified,active,5279.0,2670.0,16.0,12.0,7.0
claim,not verified,active,364943.0,212815.0,6149.0,906.0,4.0
claim,not verified,banned,865320.0,139937.0,49470.0,2574.0,1504.0
claim,not verified,active,874793.0,306997.0,29763.0,5262.0,2006.0
claim,not verified,active,468077.0,194366.0,37758.0,4319.0,131.0
claim,not verified,active,539826.0,132637.0,16501.0,444.0,60.0
claim,not verified,active,309589.0,170284.0,54865.0,2735.0,754.0
claim,not verified,active,572084.0,93187.0,4911.0,1475.0,9.0
claim,not verified,active,879769.0,107260.0,27447.0,2288.0,1257.0
claim,not verified,banned,436875.0,260329.0,41775.0,4663.0,1947.0
claim,not verified,active,501354.0,248235.0,64155.0,3883.0,2110.0
claim,not verified,banned,168449.0,90690.0,16615.0,1962.0,383.0
claim,not verified,banned,200060.0,106959.0,32426.0,2564.0,1500.0
claim,not verified,under review,423164.0,186423.0,55246.0,2404.0,1430.0
claim,not verified,under review,182650.0,88712.0,28801.0,434.0,95.0
claim,not verified,active,195432.0,27339.0,3483.0,433.0,200.0
claim,not verified,active,90931.0,51974.0,3568.0,970.0,156.0
claim,not verified,banned,920337.0,567807.0,214550.0,4524.0,2850.0
claim,not verified,active,995247.0,505255.0,156842.0,9099.0,3081.0
claim,not verified,banned,956314.0,572469.0,154525.0,2902.0,298.0
claim,not verified,active,328659.0,165642.0,46318.0,337.0,135.0
claim,verified,under review,631075.0,284311.0,97442.0,1163.0,354.0
claim,not verified,under review,228358.0,19295.0,2332.0,270.0,35.0
claim,not verified,active,276059.0,97689.0,38967.0,2376.0,507.0
claim,not verified,banned,351066.0,58438.0,19119.0,39.0,0.0
claim,not verified,under review,530697.0,30862.0,8161.0,278.0,166.0
claim,not verified,active,2883.0,1242.0,348.0,11.0,2.0
claim,not verified,active,426268.0,155933.0,50782.0,3414.0,1935.0
claim,not verified,under review,660561.0,322446.0,120347.0,5519.0,3449.0
claim,not verified,active,150706.0,72838.0,9413.0,454.0,1.0
claim,not verified,active,965051.0,567073.0,67201.0,3940.0,2550.0
claim,not verified,under review,311719.0,71173.0,6362.0,496.0,163.0
claim,not verified,active,56142.0,27239.0,1540.0,390.0,172.0
claim,verified,active,915553.0,272536.0,78299.0,7.0,3.0
claim,not verified,active,593281.0,332025.0,103892.0,7769.0,2486.0
claim,not verified,banned,169697.0,12958.0,589.0,314.0,120.0
claim,not verified,active,812513.0,523168.0,20023.0,7565.0,2809.0
claim,not verified,active,743385.0,414665.0,52389.0,1427.0,107.0
claim,not verified,active,726835.0,293637.0,31598.0,3868.0,1854.0
claim,not verified,active,950500.0,146636.0,25913.0,1956.0,956.0
claim,not verified,banned,25771.0,4775.0,1771.0,77.0,26.0
claim,not verified,banned,660194.0,349323.0,30579.0,7102.0,1335.0
claim,not verified,active,848448.0,207258.0,56105.0,3272.0,275.0
claim,not verified,banned,56312.0,36854.0,6211.0,512.0,254.0
claim,not verified,under review,263806.0,8528.0,2373.0,27.0,10.0
claim,not verified,active,951464.0,365819.0,101090.0,752.0,387.0
claim,not verified,active,907591.0,291689.0,65458.0,1736.0,853.0
claim,not verified,active,285004.0,33069.0,11653.0,572.0,71.0
claim,not verified,active,611518.0,43431.0,8890.0,196.0,45.0
claim,not verified,banned,227262.0,34194.0,565.0,456.0,74.0
claim,not verified,active,216296.0,92543.0,22041.0,270.0,70.0
claim,not verified,active,714428.0,445887.0,67205.0,5983.0,2559.0
claim,not verified,active,915340.0,459193.0,53596.0,7729.0,1440.0
claim,not verified,active,830574.0,424374.0,150314.0,7366.0,2892.0
claim,not verified,active,42647.0,17703.0,5027.0,375.0,155.0
claim,not verified,active,697308.0,190336.0,65540.0,3019.0,1572.0
claim,verified,active,775229.0,42657.0,1636.0,835.0,247.0
claim,not verified,active,242727.0,4464.0,620.0,62.0,26.0
claim,not verified,active,64994.0,37401.0,4768.0,246.0,100.0
claim,not verified,active,338032.0,174028.0,58508.0,3167.0,834.0
claim,not verified,active,405315.0,241311.0,12754.0,5667.0,1200.0
claim,not verified,active,443793.0,62808.0,18380.0,671.0,251.0
claim,not verified,active,754822.0,441008.0,28597.0,7603.0,4094.0
claim,not verified,active,612397.0,69987.0,27953.0,910.0,606.0
claim,not verified,active,998792.0,151348.0,48830.0,2843.0,1301.0
claim,not verified,banned,765069.0,301210.0,66991.0,278.0,156.0
claim,not verified,active,112830.0,38543.0,526.0,107.0,3.0
claim,not verified,active,762699.0,352035.0,26264.0,7098.0,458.0
claim,not verified,active,645348.0,25962.0,6713.0,211.0,44.0
claim,not verified,active,379005.0,204577.0,49432.0,2862.0,1858.0
claim,not verified,active,894337.0,129925.0,3678.0,1010.0,304.0
claim,not verified,active,712536.0,216805.0,47945.0,4486.0,1734.0
claim,not verified,under review,148492.0,70227.0,14962.0,1264.0,841.0
claim,not verified,active,433310.0,102440.0,34276.0,1753.0,1030.0
claim,not verified,active,649471.0,317456.0,42349.0,1072.0,46.0
claim,not verified,under review,40208.0,8018.0,1029.0,16.0,0.0
claim,not verified,active,346555.0,70156.0,12343.0,605.0,94.0
claim,not verified,active,812447.0,343371.0,79962.0,3608.0,528.0
claim,not verified,under review,391812.0,30875.0,1706.0,165.0,76.0
claim,not verified,banned,468758.0,78841.0,12464.0,1271.0,681.0
claim,not verified,active,642888.0,21908.0,7009.0,412.0,122.0
claim,not verified,banned,633270.0,6077.0,1018.0,101.0,60.0
claim,not verified,banned,734203.0,296340.0,112802.0,6795.0,2745.0
claim,not verified,active,939399.0,144236.0,31119.0,906.0,104.0
claim,not verified,active,494881.0,32805.0,8934.0,534.0,198.0
claim,verified,active,886215.0,521651.0,114330.0,10943.0,4219.0
claim,verified,banned,648343.0,233325.0,66078.0,4728.0,2122.0
claim,not verified,banned,56430.0,34026.0,4691.0,0.0,0.0
claim,not verified,active,558866.0,187629.0,15527.0,4493.0,2012.0
claim,not verified,active,91199.0,28946.0,3171.0,115.0,59.0
claim,not verified,active,788517.0,307605.0,9543.0,4832.0,2067.0
claim,not verified,active,115622.0,56824.0,13342.0,817.0,373.0
claim,not verified,active,36741.0,4541.0,49.0,38.0,23.0
claim,not verified,active,417233.0,217824.0,34725.0,357.0,66.0
claim,not verified,active,509376.0,153342.0,34764.0,2281.0,1318.0
claim,verified,active,993601.0,360808.0,123543.0,2648.0,1377.0
claim,not verified,active,511307.0,271981.0,20832.0,6673.0,2467.0
claim,not verified,under review,518655.0,105148.0,40590.0,1367.0,502.0
claim,not verified,banned,268145.0,112600.0,14468.0,2719.0,106.0
claim,not verified,under review,862840.0,435872.0,93125.0,1459.0,746.0
claim,not verified,active,244746.0,15130.0,2944.0,180.0,62.0
claim,not verified,active,210960.0,115814.0,36974.0,1855.0,467.0
claim,not verified,under review,111863.0,516.0,33.0,11.0,4.0
claim,not verified,active,89566.0,45283.0,5417.0,137.0,21.0
claim,not verified,under review,444516.0,215982.0,12545.0,4987.0,756.0
claim,not verified,banned,226281.0,97360.0,28001.0,110.0,72.0
claim,not verified,active,330402.0,171557.0,45777.0,1871.0,355.0
claim,not verified,banned,704208.0,133661.0,17715.0,368.0,51.0
claim,not verified,active,519070.0,158598.0,54151.0,665.0,188.0
claim,not verified,banned,499826.0,309975.0,17914.0,7456.0,1333.0
claim,not verified,active,167944.0,87441.0,6040.0,353.0,137.0
claim,not verified,active,511854.0,312695.0,39685.0,376.0,133.0
claim,not verified,banned,684341.0,127101.0,7517.0,1741.0,1005.0
claim,not verified,under review,825852.0,479045.0,3712.0,9804.0,3127.0
claim,not verified,under review,683434.0,94655.0,37748.0,309.0,87.0
claim,verified,under review,231712.0,12348.0,771.0,79.0,36.0
claim,not verified,active,597742.0,178975.0,44473.0,1885.0,314.0
claim,not verified,under review,273182.0,81099.0,21955.0,1075.0,611.0
claim,not verified,under review,482106.0,228292.0,64845.0,1252.0,465.0
claim,not verified,active,93598.0,52844.0,86.0,175.0,9.0
claim,not verified,active,870656.0,137823.0,46313.0,2897.0,1696.0
claim,not verified,active,441748.0,122633.0,13387.0,556.0,130.0
claim,not verified,active,33738.0,614.0,3.0,6.0,3.0
claim,not verified,active,934185.0,22021.0,8068.0,538.0,134.0
claim,not verified,active,422912.0,248328.0,50384.0,4380.0,19.0
claim,not verified,banned,515255.0,7604.0,2738.0,22.0,10.0
claim,not verified,active,749576.0,314896.0,61154.0,5917.0,1414.0
claim,not verified,active,169966.0,87626.0,31020.0,536.0,58.0
claim,not verified,active,629607.0,221678.0,18098.0,1467.0,389.0
claim,not verified,banned,49714.0,19166.0,2673.0,341.0,7.0
claim,not verified,under review,807048.0,185813.0,48347.0,4570.0,962.0
claim,not verified,active,961772.0,469073.0,97414.0,8430.0,2801.0
claim,not verified,under review,148883.0,85580.0,34011.0,131.0,29.0
claim,not verified,active,631388.0,337717.0,101692.0,2704.0,1298.0
claim,not verified,active,939426.0,346894.0,107200.0,281.0,95.0
claim,not verified,active,560115.0,259081.0,97881.0,3155.0,935.0
claim,not verified,under review,100810.0,46464.0,5054.0,326.0,47.0
claim,not verified,active,859572.0,128379.0,2142.0,2633.0,1100.0
claim,not verified,active,86449.0,20873.0,2412.0,395.0,154.0
claim,not verified,active,22675.0,15038.0,4688.0,212.0,0.0
claim,not verified,active,30448.0,988.0,206.0,25.0,16.0
claim,not verified,banned,569559.0,184470.0,14061.0,1468.0,173.0
claim,not verified,banned,813598.0,48172.0,948.0,942.0,401.0
claim,not verified,active,506876.0,212303.0,15689.0,1428.0,760.0
claim,not verified,active,682406.0,108826.0,1338.0,2661.0,1014.0
claim,not verified,banned,878248.0,400541.0,121970.0,3447.0,361.0
claim,not verified,under review,909325.0,314007.0,48135.0,6184.0,1278.0
claim,not verified,active,881753.0,295676.0,7539.0,1611.0,417.0
claim,not verified,banned,179828.0,100089.0,9428.0,1529.0,518.0
claim,not verified,active,414954.0,43839.0,2052.0,753.0,32.0
claim,not verified,under review,380857.0,160730.0,35354.0,1844.0,457.0
claim,not verified,active,661093.0,180093.0,32820.0,3721.0,1338.0
claim,not verified,active,612645.0,340472.0,6082.0,7560.0,1963.0
claim,not verified,active,38266.0,7567.0,3012.0,136.0,14.0
claim,not verified,active,392496.0,251922.0,30959.0,3538.0,299.0
claim,not verified,active,175290.0,86677.0,1785.0,1819.0,391.0
claim,not verified,active,430258.0,20195.0,3453.0,349.0,146.0
claim,verified,active,474105.0,312860.0,104143.0,5030.0,553.0
claim,not verified,active,337386.0,55788.0,4060.0,1305.0,120.0
claim,not verified,active,448341.0,280452.0,60986.0,1746.0,105.0
claim,not verified,under review,236413.0,78298.0,17635.0,621.0,389.0
claim,not verified,active,549591.0,127657.0,17860.0,1984.0,781.0
claim,not verified,active,315640.0,182597.0,37612.0,3309.0,1246.0
claim,not verified,banned,467018.0,268058.0,22841.0,2263.0,1064.0
claim,not verified,active,794004.0,68594.0,1742.0,1166.0,324.0
claim,not verified,active,119841.0,13171.0,2251.0,41.0,10.0
claim,not verified,active,796512.0,186540.0,38277.0,3839.0,2131.0
claim,not verified,active,390461.0,25079.0,7608.0,193.0,59.0
claim,not verified,active,86880.0,18003.0,966.0,352.0,232.0
claim,not verified,under review,371447.0,99183.0,8684.0,470.0,63.0
claim,not verified,under review,128877.0,29885.0,4119.0,264.0,74.0
claim,not verified,under review,795212.0,123662.0,43300.0,345.0,48.0
claim,not verified,active,255361.0,71078.0,1427.0,1368.0,448.0
claim,not verified,active,911083.0,402307.0,128902.0,4807.0,2863.0
claim,not verified,active,855783.0,355794.0,111958.0,8563.0,1991.0
claim,not verified,banned,223109.0,105943.0,21379.0,1689.0,162.0
claim,not verified,active,137178.0,28660.0,11396.0,266.0,158.0
claim,not verified,active,927524.0,145741.0,22076.0,607.0,328.0
claim,not verified,active,532090.0,5265.0,100.0,114.0,22.0
claim,not verified,active,133433.0,67969.0,26793.0,647.0,221.0
claim,not verified,under review,879928.0,378123.0,19315.0,5379.0,3383.0
claim,not verified,active,770231.0,382002.0,34029.0,6944.0,3988.0
claim,not verified,active,800390.0,413882.0,28689.0,8926.0,1975.0
claim,not verified,active,883273.0,169172.0,39076.0,311.0,66.0
claim,not verified,active,834772.0,304099.0,91292.0,1010.0,145.0
claim,not verified,active,487677.0,298063.0,7485.0,4535.0,494.0
claim,not verified,active,69375.0,19933.0,6979.0,491.0,57.0
claim,not verified,active,485244.0,82596.0,30917.0,1114.0,539.0
claim,not verified,active,495194.0,148995.0,31948.0,116.0,31.0
claim,not verified,active,216659.0,38472.0,9521.0,647.0,392.0
claim,not verified,active,999653.0,45323.0,12923.0,101.0,50.0
claim,not verified,active,708456.0,183100.0,12592.0,884.0,253.0
claim,not verified,active,786965.0,244088.0,12754.0,4839.0,2772.0
claim,not verified,active,833032.0,385435.0,48811.0,9604.0,1735.0
claim,not verified,banned,398689.0,260997.0,31854.0,2475.0,779.0
claim,not verified,active,578974.0,143812.0,3717.0,758.0,377.0
claim,not verified,active,404233.0,58146.0,19761.0,903.0,414.0
claim,not verified,active,945583.0,113936.0,339.0,867.0,568.0
claim,not verified,active,794058.0,386372.0,101561.0,8564.0,228.0
claim,not verified,active,414976.0,245153.0,82406.0,2235.0,828.0
claim,verified,active,201670.0,22128.0,7196.0,231.0,114.0
claim,not verified,active,126115.0,63020.0,17190.0,1386.0,406.0
claim,not verified,active,182579.0,114340.0,33746.0,2531.0,1101.0
claim,not verified,under review,349348.0,3974.0,1105.0,92.0,32.0
claim,not verified,active,898054.0,74942.0,18695.0,1723.0,1076.0
claim,not verified,active,268304.0,148803.0,45166.0,963.0,496.0
claim,not verified,banned,920073.0,411072.0,27692.0,5621.0,443.0
claim,not verified,under review,703576.0,223727.0,79682.0,4767.0,443.0
claim,not verified,active,456405.0,39280.0,9624.0,810.0,274.0
claim,not verified,active,102407.0,1181.0,242.0,12.0,3.0
claim,verified,active,752581.0,367283.0,36586.0,4315.0,1343.0
claim,verified,active,678567.0,69121.0,22827.0,1063.0,323.0
claim,not verified,active,538890.0,303351.0,90741.0,920.0,20.0
claim,not verified,active,164604.0,101080.0,24432.0,834.0,518.0
claim,verified,active,282723.0,23789.0,5528.0,175.0,29.0
claim,not verified,under review,566299.0,53087.0,20373.0,1035.0,667.0
claim,not verified,banned,408148.0,126518.0,27263.0,2675.0,1520.0
claim,not verified,active,5449.0,2059.0,390.0,18.0,2.0
claim,not verified,banned,995657.0,461643.0,41649.0,3426.0,1313.0
claim,not verified,active,102158.0,26569.0,8882.0,194.0,67.0
claim,not verified,active,451481.0,109116.0,28414.0,370.0,196.0
claim,not verified,under review,996786.0,163087.0,37349.0,1003.0,266.0
claim,not verified,under review,113658.0,10917.0,2983.0,194.0,87.0
claim,not verified,active,622326.0,200642.0,60549.0,0.0,0.0
claim,not verified,active,296482.0,162056.0,32128.0,3064.0,831.0
claim,not verified,banned,886391.0,170911.0,1276.0,2325.0,1327.0
claim,not verified,active,119760.0,65418.0,25378.0,930.0,503.0
claim,not verified,active,424658.0,248004.0,81285.0,4267.0,1778.0
claim,not verified,active,124130.0,70381.0,21174.0,437.0,100.0
claim,not verified,active,134641.0,51795.0,5750.0,286.0,65.0
claim,not verified,under review,830188.0,19610.0,5703.0,472.0,212.0
claim,not verified,active,76228.0,6588.0,515.0,29.0,18.0
claim,not verified,active,366211.0,109460.0,28220.0,1277.0,241.0
claim,not verified,active,182624.0,106303.0,38597.0,1886.0,969.0
claim,not verified,active,232399.0,40645.0,9816.0,27.0,10.0
claim,not verified,active,472979.0,92157.0,15134.0,1566.0,525.0
claim,not verified,active,442090.0,180023.0,57697.0,2468.0,706.0
claim,not verified,active,6333.0,1249.0,117.0,0.0,0.0
claim,not verified,under review,137526.0,18818.0,919.0,167.0,20.0
claim,not verified,active,117824.0,46138.0,8321.0,728.0,270.0
claim,not verified,banned,566333.0,48788.0,13611.0,368.0,172.0
claim,not verified,active,695866.0,143661.0,3044.0,810.0,317.0
claim,not verified,banned,915801.0,399156.0,136373.0,2510.0,1492.0
claim,not verified,under review,422005.0,3381.0,288.0,62.0,3.0
claim,not verified,active,954562.0,287810.0,683.0,4154.0,2117.0
claim,not verified,active,369986.0,157573.0,7911.0,1771.0,309.0
claim,not verified,active,167202.0,110909.0,907.0,2732.0,426.0
claim,not verified,active,858605.0,155161.0,37439.0,2828.0,668.0
claim,not verified,active,939076.0,558974.0,148015.0,6258.0,1394.0
claim,not verified,banned,397866.0,109841.0,11122.0,792.0,493.0
claim,not verified,active,210018.0,63283.0,13974.0,269.0,103.0
claim,not verified,banned,415761.0,198375.0,15804.0,3854.0,2529.0
claim,not verified,under review,604355.0,28646.0,994.0,653.0,266.0
claim,not verified,active,799461.0,361540.0,29546.0,6789.0,4158.0
claim,not verified,under review,725400.0,210695.0,21119.0,2685.0,1671.0
claim,not verified,under review,128410.0,51318.0,19152.0,1166.0,684.0
claim,verified,active,564382.0,287643.0,92802.0,2926.0,515.0
claim,not verified,banned,670584.0,45941.0,11256.0,479.0,36.0
claim,not verified,active,681106.0,398836.0,147979.0,3972.0,2388.0
claim,not verified,banned,434216.0,4930.0,1357.0,23.0,14.0
claim,not verified,active,409997.0,74060.0,19465.0,1167.0,107.0
claim,not verified,under review,666605.0,175386.0,17020.0,4326.0,168.0
claim,not verified,active,929686.0,34472.0,4226.0,250.0,113.0
claim,not verified,active,707821.0,164680.0,3920.0,2476.0,1335.0
claim,not verified,active,168026.0,109904.0,38060.0,88.0,41.0
claim,not verified,active,907499.0,250081.0,69716.0,2407.0,1381.0
claim,not verified,active,520209.0,68376.0,894.0,561.0,22.0
claim,not verified,active,613559.0,368043.0,113662.0,7130.0,4288.0
claim,verified,active,845842.0,58357.0,13337.0,1283.0,293.0
claim,not verified,active,135972.0,41157.0,11811.0,569.0,191.0
claim,not verified,active,793347.0,72458.0,10127.0,819.0,418.0
claim,not verified,active,853454.0,390849.0,66724.0,6028.0,3143.0
claim,not verified,active,764289.0,198190.0,59863.0,4860.0,2710.0
claim,not verified,active,599440.0,202674.0,58930.0,4822.0,1988.0
claim,not verified,active,818162.0,196489.0,68653.0,457.0,179.0
claim,not verified,active,478504.0,5188.0,614.0,6.0,1.0
claim,not verified,active,901466.0,157308.0,8590.0,3868.0,1372.0
claim,not verified,banned,942782.0,349920.0,21094.0,5051.0,2293.0
claim,not verified,active,560356.0,24717.0,4241.0,377.0,178.0
claim,not verified,active,166118.0,62065.0,21664.0,1244.0,326.0
claim,not verified,active,943836.0,615509.0,77624.0,10300.0,3675.0
claim,verified,active,308048.0,28979.0,4165.0,724.0,476.0
claim,not verified,active,469978.0,89730.0,3040.0,1822.0,1136.0
claim,not verified,under review,789968.0,78073.0,23780.0,16.0,7.0
claim,verified,active,57391.0,11798.0,1562.0,243.0,103.0
claim,not verified,active,979623.0,305608.0,95625.0,3833.0,1088.0
claim,not verified,under review,838648.0,375687.0,57254.0,2725.0,1502.0
claim,not verified,active,154524.0,37790.0,4071.0,4.0,1.0
claim,not verified,banned,662236.0,336652.0,115074.0,447.0,197.0
claim,not verified,active,172792.0,40124.0,13764.0,948.0,183.0
claim,not verified,under review,363304.0,71403.0,6499.0,1353.0,279.0
claim,not verified,active,972177.0,246905.0,75730.0,2208.0,151.0
claim,not verified,active,667938.0,253989.0,43267.0,2658.0,1577.0
claim,not verified,active,943178.0,59640.0,10.0,522.0,296.0
claim,not verified,active,835227.0,387907.0,16920.0,3068.0,2013.0
claim,not verified,under review,75999.0,4140.0,786.0,68.0,36.0
claim,not verified,banned,653280.0,200395.0,40859.0,4134.0,788.0
claim,not verified,under review,841144.0,176677.0,49643.0,2387.0,682.0
claim,not verified,active,792725.0,244271.0,4279.0,2055.0,395.0
claim,not verified,active,318041.0,167749.0,56314.0,3620.0,274.0
claim,not verified,under review,499744.0,260963.0,68133.0,6179.0,2627.0
claim,not verified,under review,582955.0,86748.0,7182.0,865.0,21.0
claim,not verified,banned,238311.0,126167.0,10412.0,2122.0,699.0
claim,not verified,active,873409.0,157035.0,4962.0,2076.0,687.0
claim,not verified,active,827022.0,376705.0,104682.0,8063.0,544.0
claim,not verified,banned,972320.0,449084.0,169228.0,4670.0,1355.0
claim,not verified,active,267499.0,164621.0,16314.0,127.0,75.0
claim,not verified,active,432360.0,201764.0,63233.0,872.0,460.0
claim,not verified,banned,389238.0,211611.0,68792.0,3330.0,621.0
claim,not verified,active,305816.0,158361.0,2635.0,1006.0,423.0
claim,not verified,active,551503.0,257248.0,12905.0,4017.0,1568.0
claim,not verified,active,307235.0,134023.0,37188.0,1470.0,20.0
claim,not verified,banned,263205.0,104137.0,6507.0,2507.0,1205.0
claim,not verified,banned,699716.0,388662.0,129743.0,9645.0,2748.0
claim,not verified,active,134096.0,34222.0,9417.0,599.0,23.0
claim,not verified,under review,628191.0,331352.0,119547.0,3779.0,1390.0
claim,not verified,active,284127.0,10596.0,4118.0,56.0,24.0
claim,not verified,active,163796.0,77803.0,4408.0,1087.0,454.0
claim,not verified,banned,935721.0,290697.0,41017.0,775.0,502.0
claim,not verified,active,593497.0,68324.0,20712.0,1694.0,719.0
claim,not verified,active,661494.0,101284.0,16460.0,849.0,421.0
claim,not verified,active,706925.0,322654.0,75112.0,4974.0,2869.0
claim,not verified,active,703635.0,170092.0,65369.0,3721.0,1933.0
claim,not verified,active,219449.0,94504.0,26593.0,1314.0,652.0
claim,not verified,active,140665.0,27827.0,7062.0,681.0,121.0
claim,not verified,banned,490475.0,299386.0,103409.0,6247.0,3734.0
claim,not verified,active,847359.0,514108.0,60603.0,8393.0,2068.0
claim,not verified,active,157988.0,72701.0,3281.0,1150.0,345.0
claim,not verified,active,374682.0,241181.0,53180.0,1231.0,599.0
claim,not verified,active,807978.0,182359.0,15139.0,156.0,31.0
claim,not verified,active,798087.0,503764.0,162965.0,12023.0,2228.0
claim,not verified,active,923567.0,304484.0,117252.0,4416.0,2846.0
claim,not verified,active,420278.0,53932.0,998.0,729.0,214.0
claim,not verified,banned,708931.0,333934.0,85569.0,1512.0,271.0
claim,not verified,under review,32922.0,14600.0,4862.0,142.0,5.0
claim,not verified,under review,308006.0,164734.0,54432.0,2337.0,908.0
claim,not verified,active,366793.0,196608.0,61838.0,2866.0,949.0
